# wavelength[A] tau flux flux_error
1.152660e+03 1.567250e-02 9.844497e-01 9.921944e-02
1.152670e+03 1.567291e-02 9.844493e-01 9.921942e-02
1.152680e+03 1.567332e-02 9.844489e-01 9.921940e-02
1.152690e+03 1.567373e-02 9.844485e-01 9.921938e-02
1.152700e+03 1.567414e-02 9.844481e-01 9.921936e-02
1.152710e+03 1.567454e-02 9.844477e-01 9.921934e-02
1.152720e+03 1.567495e-02 9.844473e-01 9.921932e-02
1.152730e+03 1.567536e-02 9.844469e-01 9.921930e-02
1.152740e+03 1.567577e-02 9.844465e-01 9.921928e-02
1.152750e+03 1.567618e-02 9.844461e-01 9.921926e-02
1.152760e+03 1.567658e-02 9.844457e-01 9.921923e-02
1.152770e+03 1.567946e-02 9.844428e-01 9.921909e-02
1.152780e+03 1.567987e-02 9.844424e-01 9.921907e-02
1.152790e+03 1.568028e-02 9.844420e-01 9.921905e-02
1.152800e+03 1.568068e-02 9.844416e-01 9.921903e-02
1.152810e+03 1.568109e-02 9.844412e-01 9.921901e-02
1.152820e+03 1.568150e-02 9.844408e-01 9.921899e-02
1.152830e+03 1.568191e-02 9.844404e-01 9.921897e-02
1.152840e+03 1.568232e-02 9.844400e-01 9.921895e-02
1.152850e+03 1.568272e-02 9.844396e-01 9.921893e-02
1.152860e+03 1.568313e-02 9.844392e-01 9.921891e-02
1.152870e+03 1.568354e-02 9.844388e-01 9.921889e-02
1.152880e+03 1.568395e-02 9.844384e-01 9.921887e-02
1.152890e+03 1.568436e-02 9.844380e-01 9.921885e-02
1.152900e+03 1.568477e-02 9.844376e-01 9.921883e-02
1.152910e+03 1.568517e-02 9.844372e-01 9.921881e-02
1.152920e+03 1.568558e-02 9.844368e-01 9.921879e-02
1.152930e+03 1.568599e-02 9.844364e-01 9.921877e-02
1.152940e+03 1.568640e-02 9.844360e-01 9.921875e-02
1.152950e+03 1.568681e-02 9.844356e-01 9.921873e-02
1.152960e+03 1.568721e-02 9.844352e-01 9.921871e-02
1.152970e+03 1.568762e-02 9.844348e-01 9.921869e-02
1.152980e+03 1.568803e-02 9.844344e-01 9.921867e-02
1.152990e+03 1.568844e-02 9.844340e-01 9.921865e-02
1.153000e+03 1.568885e-02 9.844336e-01 9.921863e-02
1.153010e+03 1.568926e-02 9.844332e-01 9.921861e-02
1.153020e+03 1.568966e-02 9.844328e-01 9.921859e-02
1.153030e+03 1.569007e-02 9.844324e-01 9.921857e-02
1.153040e+03 1.569048e-02 9.844320e-01 9.921855e-02
1.153050e+03 1.569089e-02 9.844316e-01 9.921853e-02
1.153060e+03 1.569130e-02 9.844312e-01 9.921850e-02
1.153070e+03 1.569170e-02 9.844308e-01 9.921848e-02
1.153080e+03 1.569211e-02 9.844304e-01 9.921846e-02
1.153090e+03 1.569252e-02 9.844300e-01 9.921844e-02
1.153100e+03 1.569293e-02 9.844296e-01 9.921842e-02
1.153110e+03 1.569334e-02 9.844292e-01 9.921840e-02
1.153120e+03 1.569375e-02 9.844288e-01 9.921838e-02
1.153130e+03 1.569415e-02 9.844284e-01 9.921836e-02
1.153140e+03 1.569456e-02 9.844280e-01 9.921834e-02
1.153150e+03 1.569497e-02 9.844276e-01 9.921832e-02
1.153160e+03 1.569538e-02 9.844272e-01 9.921830e-02
1.153170e+03 1.569579e-02 9.844267e-01 9.921828e-02
1.153180e+03 1.569620e-02 9.844263e-01 9.921826e-02
1.153190e+03 1.569660e-02 9.844259e-01 9.921824e-02
1.153200e+03 1.569701e-02 9.844255e-01 9.921822e-02
1.153210e+03 1.569742e-02 9.844251e-01 9.921820e-02
1.153220e+03 1.569783e-02 9.844247e-01 9.921818e-02
1.153230e+03 1.569824e-02 9.844243e-01 9.921816e-02
1.153240e+03 1.569865e-02 9.844239e-01 9.921814e-02
1.153250e+03 1.569905e-02 9.844235e-01 9.921812e-02
1.153260e+03 1.569946e-02 9.844231e-01 9.921810e-02
1.153270e+03 1.569987e-02 9.844227e-01 9.921808e-02
1.153280e+03 1.570028e-02 9.844223e-01 9.921806e-02
1.153290e+03 1.570069e-02 9.844219e-01 9.921804e-02
1.153300e+03 1.570110e-02 9.844215e-01 9.921802e-02
1.153310e+03 1.570151e-02 9.844211e-01 9.921800e-02
1.153320e+03 1.570191e-02 9.844207e-01 9.921798e-02
1.153330e+03 1.570232e-02 9.844203e-01 9.921796e-02
1.153340e+03 1.570273e-02 9.844199e-01 9.921794e-02
1.153350e+03 1.570314e-02 9.844195e-01 9.921792e-02
1.153360e+03 1.570355e-02 9.844191e-01 9.921790e-02
1.153370e+03 1.570396e-02 9.844187e-01 9.921788e-02
1.153380e+03 1.570436e-02 9.844183e-01 9.921786e-02
1.153390e+03 1.570477e-02 9.844179e-01 9.921784e-02
1.153400e+03 1.570765e-02 9.844151e-01 9.921769e-02
1.153410e+03 1.570806e-02 9.844147e-01 9.921767e-02
1.153420e+03 1.570847e-02 9.844143e-01 9.921765e-02
1.153430e+03 1.570888e-02 9.844139e-01 9.921763e-02
1.153440e+03 1.570928e-02 9.844135e-01 9.921761e-02
1.153450e+03 1.570969e-02 9.844131e-01 9.921759e-02
1.153460e+03 1.571010e-02 9.844127e-01 9.921757e-02
1.153470e+03 1.571051e-02 9.844123e-01 9.921755e-02
1.153480e+03 1.571092e-02 9.844119e-01 9.921753e-02
1.153490e+03 1.571133e-02 9.844115e-01 9.921751e-02
1.153500e+03 1.571174e-02 9.844110e-01 9.921749e-02
1.153510e+03 1.571214e-02 9.844106e-01 9.921747e-02
1.153520e+03 1.571255e-02 9.844102e-01 9.921745e-02
1.153530e+03 1.571296e-02 9.844098e-01 9.921743e-02
1.153540e+03 1.571337e-02 9.844094e-01 9.921741e-02
1.153550e+03 1.571378e-02 9.844090e-01 9.921739e-02
1.153560e+03 1.571419e-02 9.844086e-01 9.921737e-02
1.153570e+03 1.571460e-02 9.844082e-01 9.921735e-02
1.153580e+03 1.571501e-02 9.844078e-01 9.921733e-02
1.153590e+03 1.571541e-02 9.844074e-01 9.921731e-02
1.153600e+03 1.571582e-02 9.844070e-01 9.921729e-02
1.153610e+03 1.571623e-02 9.844066e-01 9.921727e-02
1.153620e+03 1.571664e-02 9.844062e-01 9.921725e-02
1.153630e+03 1.571705e-02 9.844058e-01 9.921723e-02
1.153640e+03 1.571746e-02 9.844054e-01 9.921721e-02
1.153650e+03 1.571787e-02 9.844050e-01 9.921719e-02
1.153660e+03 1.571828e-02 9.844046e-01 9.921717e-02
1.153670e+03 1.571868e-02 9.844042e-01 9.921715e-02
1.153680e+03 1.571909e-02 9.844038e-01 9.921713e-02
1.153690e+03 1.571950e-02 9.844034e-01 9.921711e-02
1.153700e+03 1.571991e-02 9.844030e-01 9.921709e-02
1.153710e+03 1.572032e-02 9.844026e-01 9.921707e-02
1.153720e+03 1.572073e-02 9.844022e-01 9.921704e-02
1.153730e+03 1.572114e-02 9.844018e-01 9.921702e-02
1.153740e+03 1.572155e-02 9.844014e-01 9.921700e-02
1.153750e+03 1.572195e-02 9.844010e-01 9.921698e-02
1.153760e+03 1.572236e-02 9.844006e-01 9.921696e-02
1.153770e+03 1.572277e-02 9.844002e-01 9.921694e-02
1.153780e+03 1.572318e-02 9.843998e-01 9.921692e-02
1.153790e+03 1.572359e-02 9.843994e-01 9.921690e-02
1.153800e+03 1.572400e-02 9.843990e-01 9.921688e-02
1.153810e+03 1.572441e-02 9.843986e-01 9.921686e-02
1.153820e+03 1.572482e-02 9.843982e-01 9.921684e-02
1.153830e+03 1.572522e-02 9.843978e-01 9.921682e-02
1.153840e+03 1.572563e-02 9.843974e-01 9.921680e-02
1.153850e+03 1.572604e-02 9.843970e-01 9.921678e-02
1.153860e+03 1.572892e-02 9.843941e-01 9.921664e-02
1.153870e+03 1.572933e-02 9.843937e-01 9.921662e-02
1.153880e+03 1.572974e-02 9.843933e-01 9.921660e-02
1.153890e+03 1.573015e-02 9.843929e-01 9.921658e-02
1.153900e+03 1.573056e-02 9.843925e-01 9.921656e-02
1.153910e+03 1.573097e-02 9.843921e-01 9.921654e-02
1.153920e+03 1.573137e-02 9.843917e-01 9.921652e-02
1.153930e+03 1.573178e-02 9.843913e-01 9.921650e-02
1.153940e+03 1.573219e-02 9.843909e-01 9.921648e-02
1.153950e+03 1.573260e-02 9.843905e-01 9.921646e-02
1.153960e+03 1.573301e-02 9.843901e-01 9.921644e-02
1.153970e+03 1.573342e-02 9.843897e-01 9.921642e-02
1.153980e+03 1.573383e-02 9.843893e-01 9.921639e-02
1.153990e+03 1.573424e-02 9.843889e-01 9.921637e-02
1.154000e+03 1.573465e-02 9.843885e-01 9.921635e-02
1.154010e+03 1.573506e-02 9.843881e-01 9.921633e-02
1.154020e+03 1.573546e-02 9.843877e-01 9.921631e-02
1.154030e+03 1.573587e-02 9.843873e-01 9.921629e-02
1.154040e+03 1.573628e-02 9.843869e-01 9.921627e-02
1.154050e+03 1.573669e-02 9.843865e-01 9.921625e-02
1.154060e+03 1.573710e-02 9.843861e-01 9.921623e-02
1.154070e+03 1.573751e-02 9.843857e-01 9.921621e-02
1.154080e+03 1.573792e-02 9.843853e-01 9.921619e-02
1.154090e+03 1.573833e-02 9.843849e-01 9.921617e-02
1.154100e+03 1.573874e-02 9.843845e-01 9.921615e-02
1.154110e+03 1.573915e-02 9.843841e-01 9.921613e-02
1.154120e+03 1.573956e-02 9.843837e-01 9.921611e-02
1.154130e+03 1.573996e-02 9.843833e-01 9.921609e-02
1.154140e+03 1.574037e-02 9.843829e-01 9.921607e-02
1.154150e+03 1.574078e-02 9.843825e-01 9.921605e-02
1.154160e+03 1.574119e-02 9.843821e-01 9.921603e-02
1.154170e+03 1.574160e-02 9.843816e-01 9.921601e-02
1.154180e+03 1.574201e-02 9.843812e-01 9.921599e-02
1.154190e+03 1.574242e-02 9.843808e-01 9.921597e-02
1.154200e+03 1.574283e-02 9.843804e-01 9.921595e-02
1.154210e+03 1.574324e-02 9.843800e-01 9.921593e-02
1.154220e+03 1.574365e-02 9.843796e-01 9.921591e-02
1.154230e+03 1.574406e-02 9.843792e-01 9.921589e-02
1.154240e+03 1.574447e-02 9.843788e-01 9.921587e-02
1.154250e+03 1.574488e-02 9.843784e-01 9.921585e-02
1.154260e+03 1.574528e-02 9.843780e-01 9.921583e-02
1.154270e+03 1.574569e-02 9.843776e-01 9.921581e-02
1.154280e+03 1.574610e-02 9.843772e-01 9.921579e-02
1.154290e+03 1.574651e-02 9.843768e-01 9.921577e-02
1.154300e+03 1.574692e-02 9.843764e-01 9.921575e-02
1.154310e+03 1.574733e-02 9.843760e-01 9.921573e-02
1.154320e+03 1.574774e-02 9.843756e-01 9.921570e-02
1.154330e+03 1.574815e-02 9.843752e-01 9.921568e-02
1.154340e+03 1.574856e-02 9.843748e-01 9.921566e-02
